TA	Actividad	Espacio	Sub-espacio	Sub - subespacio	Proyecto	Etiquetas	Descripción
Q2	Docencia	UR_XXXX	Administrativos	Datos de Cursos	Docencia		
Q2	Docencia	UR_XXXX	Administrativos	Gestion	Docencia		
Q2	Docencia	UR_XXXX	Evaluaciones	Examen	Docencia		
Q2	Docencia	UR_XXXX	Evaluaciones	Qs curso	Docencia		
Q2	Docencia	UR_XXXX	Materiales	Curso 20xx	Docencia		
Q2	Docencia	UR_XXXX	Materiales	Planificacion	Docencia		
Q2	Docencia	UR_XXXX	Materiales	Clases	Docencia		
Q2	Docencia	UR_XXXX	Plataforma Moodle	Consultas	Docencia		
Q2	Docencia	UR_XXXX	Reuniones	Catedra	Docencia		
Q2	Deporte	Individual	En casa	Ejercicios MECo	Deporte		
Q2	Deporte	Individual	En casa	Anaerobicos	Deporte		
Q2	Deporte	Individual	En casa	Calistenia	Deporte	DIEC	
Q2	Deporte	Individual	Corre-caminata	En compania	Deporte		
Q2	Deporte	Individual	Corre-caminata	Solingen	Deporte	DICC	
Q2	Deporte	Colectivo	(futbol,etc)	(otros)	Deporte		
Q2	Estudio	Metodos de Estudio	Practica semanal	Repaso y Actualizacion	Estudio-DME		
Q2	Estudio	Metodos de Estudio	Concentracion	Ejercitacion	Estudio-DME		
Q2	Estudio	Maestria	Administrativos	(otros)	Estudio-Materias		
Q2	Estudio	Maestria	(asignatura)	Implementacion informatica	Estudio-Materias		
Q2	Estudio	Maestria	(asignatura)	Teorico	Estudio-Materias		
Q2	Estudio	Maestria	(asignatura)	Trabajo Final	Estudio-Materias		
Q2	Estudio	Maestria	(asignatura)	Practico	Estudio-Materias		
Q2	Estudio	Maestria	(asignatura)	Clases	Estudio-Materias		
Q2	Estudio	Maestria	ITM	Implementacion informatica	Estudio-Materias		
Q2	Estudio	Maestria	ITM	Teorico	Estudio-Materias		
Q2	Estudio	Maestria	ITM	Trabajo Final	Estudio-Materias		
Q2	Estudio	Maestria	ITM	Practico	Estudio-Materias		
Q2	Estudio	Maestria	ITM	Clases	Estudio-Materias	ESMA-ITM	
Q2	Estudio	Maestria	Tesis	Lecturas	Estudio-Tesis		
Q2	Estudio	Maestria	Tesis	Previa a Reuniones	Estudio-Tesis		
Q2	Estudio	Maestria	Tesis	Reuniones	Estudio-Tesis	ESTE-Reu	
Q2	Estudio	Maestria	Tesis	Administrativos	Estudio-Tesis	ESTE-Adm	
Q2	Estudio	Maestria	Tesis	Implementacion informatica	Estudio-Tesis	ESIN-R.impl	
Q2	Estudio	Maestria	Tesis	Presentaciones	Estudio-Tesis	ESTE-Prs	
Q2	Estudio	Maestria	Tesis	Bibliografia	Estudio-Tesis	ESTE-Bib	
Q2	Estudio	Maestria	Tesis	Defensa de Tesis	Estudio-Tesis	ESTE-Def	
Q2	Estudio	Resto	Acumulado historico	Teorico-Practico	Estudio-Resto		
Q2	Estudio	Resto	Concursos	Presentacion	Estudio-Resto		
Q2	Estudio	Resto	Concursos	Administrativos	Estudio-Resto		
Q2	Estudio	Resto	Datos_Abiertos	(proyecto)	Estudio-Resto	ESRE-DAb	
Q2	Familia	Academicos	Escuela	Reuniones	Familia		
Q2	Familia	Academicos	Escuela	Actos	Familia	FA-Acad	
Q2	Familia	Academicos	Escuela	(otros)	Familia		
Q2	Familia	Academicos	(varios)	(otros)	Familia		
Q2	Familia	CuidadosF	Salud	Ginecologia	Familia		
Q2	Familia	CuidadosF	Salud	Clases de Parto	Familia		
Q2	Familia	CuidadosF	Salud	Celulas madre	Familia		
Q2	Familia	CuidadosF	Salud	Vacunaciones	Familia		
Q2	Familia	CuidadosF	Salud	Especiales	Familia		
Q2	Familia	CuidadosF	Salud	Pediatria	Familia		
Q1	Familia	CuidadosF	Salud	Emergencia	Familia	FA-CuiF	
Q2	Familia	CuidadosF	Salud	Pediatria	Familia		
Q2	Familia	CuidadosF	Salud	Odontologia	Familia		
Q2	Familia	CuidadosF	Salud	SegVial	Familia		
Q1	Familia	CuidadosF	Salud	Farmacia	Familia		
Q2	Familia	CuidadosF	Salud	ORL	Familia		
Q1	Familia	CuidadosF	Salud	Internacion	Familia		
Q2	Familia	DocumentacionF	Partida Nacimiento	Tramite	Familia		
Q2	Familia	DocumentacionF	Cedula de Identidad	Previos	Familia		
Q2	Familia	DocumentacionF	Cedula de Identidad	Tramite	Familia		
Q2	Familia	DocumentacionF	Educativos	Reuniones	Familia	FA-DocF	
Q2	Familia	DocumentacionF	Religiosos	Bautismo	Familia		
Q2	Familia	DocumentacionF	Tramites	Varios	Familia		
Q2	Familia	VidaenFlia	Paternidad	Tareas cotidianas	Familia	FA-VEFP	
Q1	Familia	VidaenFlia	Eventos	Defunciones	Familia		
Q2	Familia	VidaenFlia	Eventos	Nacimientos	Familia		
Q2	Familia	VidaenFlia	Eventos	Cumpleaños	Familia	FA-EveF	
Q1	Familia	Apoyo Familiar	Logistica	Mudanzas	Familia	FA-ApyF	
Q1	Familia	Apoyo Familiar	Logistica	Mantenimiento	Familia		
Q2	Otros	Hogar	Auto	Accesorios	Otros-Hogar		
Q2	Otros	Hogar	Auto	Busqueda	Otros-Hogar		
Q2	Otros	Hogar	Auto	Combustible	Otros-Hogar	OH-Auto	
Q2	Otros	Hogar	Auto	Compra-Adquisicion	Otros-Hogar		
Q2	Otros	Hogar	Auto	Estacionamiento	Otros-Hogar		
Q1	Otros	Hogar	Auto	Imprevistos	Otros-Hogar		
Q2	Otros	Hogar	Auto	Mantenimiento	Otros-Hogar		
Q2	Otros	Hogar	Auto	Obligaciones	Otros-Hogar		
Q2	Otros	Hogar	Casa	Arbolito	Otros-Hogar		
Q2	Otros	Hogar	Casa	Mantenimiento	Otros-Hogar		
Q1	Otros	Hogar	Casa	Imprevistos	Otros-Hogar		
Q2	Otros	Hogar	Cocina	Asistencia	Otros-Hogar	OH-Coci	
Q2	Otros	Hogar	Compras	Alimentacion	Otros-Hogar		
Q2	Otros	Hogar	Compras	Cosas de la casa	Otros-Hogar	OH-CoCa	
Q2	Otros	Hogar	Compras	Energia	Otros-Hogar		
Q2	Otros	Hogar	Compras	Feria	Otros-Hogar	OH-CoFe	
Q2	Otros	Hogar	Compras	Orden	Otros-Hogar		
Q2	Otros	Hogar	Compras	Regalos	Otros-Hogar		
Q2	Otros	Hogar	Compras	Ropa	Otros-Hogar		
Q2	Otros	Hogar	Compras	Salud-Higiene	Otros-Hogar		
Q2	Otros	Hogar	Compras	Varios	Otros-Hogar		
Q2	Otros	Hogar	Compras	Vestimenta	Otros-Hogar		
Q2	Otros	Hogar	Cuentas	Gastos comunes	Otros-Hogar	OH-Ctas	
Q2	Otros	Hogar	Cuentas	Orden papeles	Otros-Hogar		
Q2	Otros	Hogar	Cuentas	Varios	Otros-Hogar		
Q2	Otros	Hogar	Donaciones	Coordinacion	Otros-Hogar		
Q2	Otros	Hogar	Donaciones	Retiro	Otros-Hogar		
Q2	Otros	Hogar	Electrodomesticos	Consultas	Otros-Hogar		
Q2	Otros	Hogar	Electrodomesticos	Compras	Otros-Hogar		
Q2	Otros	Hogar	Electrodomesticos	Funcionamiento	Otros-Hogar		
Q2	Otros	Hogar	Electrodomesticos	PC	Otros-Hogar		
Q2	Otros	Hogar	Imprevistos	Reclamos	Otros-Hogar		
Q2	Otros	Hogar	Imprevistos	Reparaciones	Otros-Hogar		
Q2	Otros	Hogar	Imprevistos	Cambios	Otros-Hogar		
Q2	Otros	Hogar	Limpieza	Externa	Otros-Hogar		
Q2	Otros	Hogar	Limpieza	Orden cuartos	Otros-Hogar		
Q2	Otros	Hogar	Limpieza	Sanitaria	Otros-Hogar		
Q2	Otros	Hogar	Limpieza	Varios	Otros-Hogar	OH-Limp	
Q2	Otros	Hogar	Limpieza	Vestimenta	Otros-Hogar	OH-LiLR	
Q2	Otros	Hogar	Mandados	Cosas de la Casa	Otros-Hogar	OH-ObjC	
Q2	Otros	Hogar	Mandados	General	Otros-Hogar	OH-Mand	
Q2	Otros	Hogar	Mandados	Cambio $	Otros-Hogar		
Q2	Otros	Hogar	Organizacion	Logistica	Otros-Hogar	OH-OrgL	
Q2	Otros	Hogar	Pre-Lentij	Tareas en Cuotas (TeC)	Otros-Hogar		
Q2	Otros	Personales	Compras	Alimentacion	Otros-Personales		
Q2	Otros	Personales	Compras	Boletos	Otros-Personales		
Q2	Otros	Personales	Compras	(otros)	Otros-Personales		
Q2	Otros	Personales	Compras	Salud	Otros-Personales		
Q2	Otros	Personales	Compras	Transporte	Otros-Personales		
Q2	Otros	Personales	Compras	Varios	Otros-Personales	OP-Mand	
Q2	Otros	Personales	Cuidado Personal	Afeitada	Otros-Personales		
Q2	Otros	Personales	Cuidado Personal	Peluqueria	Otros-Personales		
Q2	Otros	Personales	Cuidado Personal	Varios	Otros-Personales	OP-CuiP	
Q2	Otros	Personales	Deberes civicos	Votaciones	Otros-Personales	OP-DebC	
